wavelength_nm,quantum_effiency_percent
202.2589866,5.025261796
204.7625434,4.955915689
207.2661002,4.990588743
209.769657,4.990588743
212.2732138,4.990588743
214.7767706,4.990588743
217.2803274,4.990588743
219.7838841,4.990588743
222.2874409,4.990588743
224.7909977,5.05993485
227.2945545,5.094607903
229.7981113,5.129280957
232.3016681,5.129280957
234.8052249,5.233300117
237.3087816,5.337319278
239.8123384,5.371992331
242.3158952,5.510684545
244.819452,5.684049813
246.6971196,5.75339592
249.8265656,5.961434241
252.3301224,6.169472562
254.8336792,6.44685699
256.7113467,6.724241418
258.5890143,7.036298899
260.4666819,7.209664167
262.3443495,7.452375541
264.8479063,7.868452183
269.1344584,8.564535585
271.7326875,9.012662949
272.9844659,9.290047377
274.8621334,9.602104858
276.1139118,9.879489286
277.3656902,10.26089287
280.4951362,10.81566173
280.4951362,10.60762341
281.7469146,11.09304616
283.6245822,11.57846891
284.8763606,11.85585334
286.3367687,12.08700703
288.0058066,12.4799683
289.257585,12.68800662
289.8834742,12.96539105
291.7611417,13.24277548
292.3870309,13.5201599
293.6388093,13.90156349
294.2646985,14.14427487
295.5164769,14.83773594
295.5164769,14.56035151
295.5164769,14.35231319
296.7682553,15.53119701
296.7682553,15.25381258
296.7682553,15.04577426
297.3941445,16.08596586
297.3941445,15.84325449
298.0200337,16.91811915
298.0200337,16.64073472
298.0200337,16.36335029
298.8545526,17.21861894
299.2718121,17.61158022
300.106331,17.91208001
300.5235905,18.30504129
301.1494797,18.61709877
301.7753689,19.13719457
301.7753689,18.85981014
302.4012581,19.414579
303.0271473,19.83065564
303.6530365,20.17738618
304.2789257,20.80150114
304.2789257,20.52411671
304.9048149,21.07888557
305.5307041,21.63365442
305.5307041,21.35627
306.1565933,21.91103885
306.7824825,22.46580771
306.7824825,22.18842328
307.4083717,22.74319214
308.0342609,23.57534542
308.0342609,23.29796099
308.0342609,23.02057656
309.2860393,24.54619092
309.2860393,24.13011428
309.2860393,23.85272985
309.9119284,24.82357535
310.5378176,25.3783442
310.5378176,25.10095977
311.1637068,25.65572863
311.789596,25.93311306
312.4154852,26.27984359
313.0413744,26.90395856
313.0413744,26.62657413
314.2931528,27.18134298
314.919042,27.49340047
315.5449312,27.73611184
316.1708204,28.04816932
316.7967096,28.2908807
317.4225988,28.77630344
318.048488,29.12303398
318.6743772,29.43509146
319.3002664,29.67780284
319.9261556,29.95518726
320.5520448,30.23257169
321.177934,30.57930223
321.8038232,30.92603276
322.4297124,31.2727633
323.0556016,31.61949383
324.30738,32.3129549
325.1418989,32.6134547
326.1850476,33.07576208
326.8109368,33.42249261
327.6454557,33.72299241
328.0627151,34.11595368
329.3144935,34.39333811
329.9403827,34.70539559
330.5662719,34.94810697
331.1921611,35.2948375
331.8180503,35.64156804
332.4439395,35.95362552
333.0698287,36.19633689
333.6957179,36.54306743
334.3216071,36.88979796
334.9474963,37.13250934
335.5733855,37.72195125
335.5733855,37.44456682
336.8251639,38.69279675
336.8251639,38.41541232
336.8251639,38.207374
337.4510531,38.97018117
338.0769423,39.2475656
338.7028315,39.55962308
339.3287207,39.80233446
339.9546099,40.11439194
340.5804991,40.63448774
340.5804991,40.35710331
341.415018,40.93498754
341.8322775,41.32794881
