wavelength_nm,reflectivity_percent
377.6752137,75.4382697
377.6752137,75.36499384
377.6752137,75.29171798
377.6752137,75.21844212
377.6752137,75.14516626
377.6752137,75.07189039
377.6752137,74.99861453
378.014245,75.52986453
379.7094017,78.79064039
379.7094017,78.71736453
379.7094017,78.64408867
379.7094017,78.57081281
379.7094017,78.49753695
379.7094017,78.42426108
379.7094017,78.35098522
379.7094017,78.27770936
379.7094017,78.2044335
379.7094017,78.13115764
379.7094017,78.05788177
379.7094017,77.98460591
379.7094017,77.91133005
379.7094017,77.83805419
379.7094017,77.76477833
379.7094017,77.69150246
379.7094017,77.6182266
379.7094017,77.54495074
379.7094017,77.47167488
379.7094017,77.39839901
379.7094017,77.32512315
379.7094017,77.25184729
379.7094017,77.17857143
379.7094017,77.10529557
379.7094017,77.0320197
379.7094017,76.95874384
379.7094017,76.88546798
379.7094017,76.81219212
379.7094017,76.73891626
379.7094017,76.66564039
379.7094017,76.59236453
379.7094017,76.51908867
379.7094017,76.44581281
379.7094017,76.37253695
379.7094017,76.29926108
379.7094017,76.22598522
379.7094017,76.15270936
379.7094017,76.0794335
379.7094017,76.00615764
379.7094017,75.93288177
379.7094017,75.85960591
379.7094017,75.78633005
379.7094017,75.71305419
379.7094017,75.63977833
381.7435897,82.16133005
381.7435897,82.08805419
381.7435897,82.01477833
381.7435897,81.94150246
381.7435897,81.8682266
381.7435897,81.79495074
381.7435897,81.72167488
381.7435897,81.64839901
381.7435897,81.57512315
381.7435897,81.50184729
381.7435897,81.42857143
381.7435897,81.35529557
381.7435897,81.2820197
381.7435897,81.20874384
381.7435897,81.13546798
381.7435897,81.06219212
381.7435897,80.98891626
381.7435897,80.91564039
381.7435897,80.84236453
381.7435897,80.76908867
381.7435897,80.69581281
381.7435897,80.62253695
381.7435897,80.54926108
381.7435897,80.47598522
381.7435897,80.40270936
381.7435897,80.3294335
381.7435897,80.25615764
381.7435897,80.18288177
381.7435897,80.10960591
381.7435897,80.03633005
381.7435897,79.96305419
381.7435897,79.88977833
381.7435897,79.81650246
381.7435897,79.7432266
381.7435897,79.66995074
381.7435897,79.59667488
381.7435897,79.52339901
381.7435897,79.45012315
381.7435897,79.37684729
381.7435897,79.30357143
381.7435897,79.23029557
381.7435897,79.1570197
381.7435897,79.08374384
381.7435897,79.01046798
381.7435897,78.93719212
381.7435897,78.86391626
381.7435897,75.56650246
381.7435897,75.4932266
381.7435897,75.41995074
381.7435897,75.34667488
381.7435897,75.27339901
381.7435897,75.20012315
381.7435897,75.12684729
381.7435897,75.05357143
381.7435897,74.98945505
382.7606838,78.05788177
382.7606838,77.98460591
382.7606838,77.91133005
382.7606838,77.83805419
382.7606838,77.76477833
382.7606838,77.69150246
